--------- beginning of main
08-24 17:47:08.818   594   753 D InetDiagMessage: Destroyed 0 sockets, proto=IPPROTO_TCP, family=AF_INET, states=14
08-24 17:47:08.819   594   753 D InetDiagMessage: Destroyed 0 sockets, proto=IPPROTO_TCP, family=AF_INET6, states=14
08-24 17:47:08.819   594   753 D InetDiagMessage: Destroyed live tcp sockets for uids={10194} in 1ms
08-24 17:47:08.838   394   449 I netd    : tetherGetStats() -> {[]} <0.42ms>
08-24 17:47:08.843   394   449 I netd    : bandwidthSetGlobalAlert(2097152) <0.08ms>
08-24 17:47:08.845   394   449 I netd    : bandwidthRemoveInterfaceQuota(eth0) <0.48ms>
08-24 17:47:08.846   394   449 I netd    : bandwidthSetInterfaceQuota(eth0, 9223372036854775807) <0.39ms>
--------- beginning of system
08-24 17:47:08.874   594   691 D ActivityManager: freezing 1230 com.google.android.permissioncontroller
08-24 17:47:08.875   594   753 D InetDiagMessage: Destroyed 0 sockets, proto=IPPROTO_TCP, family=AF_INET, states=14
08-24 17:47:08.876   594   753 D InetDiagMessage: Destroyed 0 sockets, proto=IPPROTO_TCP, family=AF_INET6, states=14
08-24 17:47:08.876   594   753 D InetDiagMessage: Destroyed live tcp sockets for uids={10191} in 1ms
08-24 17:47:08.977  1811  2427 E MDD     : DownloadProgressMonitor: Can't find file group for uri: android://com.google.android.apps.messaging/files/datadownload/shared/public/datadownloadfile_1786690896270
08-24 17:47:08.982  1811  2966 E MDD     : DownloadProgressMonitor: Can't find file group for uri: android://com.google.android.apps.messaging/files/datadownload/shared/public/datadownloadfile_1786690896271
08-24 17:47:08.982  1811  1904 D dasx    : Starting download: https://fonts.gstatic.com/s/e/notoemoji/16.0/1f30e/lottie.json
08-24 17:47:08.982  1811  1904 V dasx    : Is http uri, downloading (uri: https://fonts.gstatic.com/s/e/notoemoji/16.0/1f30e/lottie.json)
08-24 17:47:08.991  1811  2427 D dasx    : Starting download: https://fonts.gstatic.com/s/e/notoemoji/16.0/1f30f/lottie.json
08-24 17:47:08.991  1811  2427 V dasx    : Is http uri, downloading (uri: https://fonts.gstatic.com/s/e/notoemoji/16.0/1f30f/lottie.json)
08-24 17:47:08.997  1811  1904 E MDD     : DownloadProgressMonitor: Can't find file group for uri: android://com.google.android.apps.messaging/files/datadownload/shared/public/datadownloadfile_1786690896272
08-24 17:47:09.007  1811  2427 E MDD     : DownloadProgressMonitor: Can't find file group for uri: android://com.google.android.apps.messaging/files/datadownload/shared/public/datadownloadfile_1786690896273
08-24 17:47:09.010  1811  2966 D dasx    : Starting download: https://fonts.gstatic.com/s/e/notoemoji/16.0/2604_fe0f/lottie.json
08-24 17:47:09.010  1811  2966 V dasx    : Is http uri, downloading (uri: https://fonts.gstatic.com/s/e/notoemoji/16.0/2604_fe0f/lottie.json)
08-24 17:47:09.021  1811  1904 D dasx    : Starting download: https://fonts.gstatic.com/s/e/notoemoji/16.0/1f42e/lottie.json
08-24 17:47:09.022  1811  1904 V dasx    : Is http uri, downloading (uri: https://fonts.gstatic.com/s/e/notoemoji/16.0/1f42e/lottie.json)
08-24 17:47:09.025  1811  2966 E MDD     : DownloadProgressMonitor: Can't find file group for uri: android://com.google.android.apps.messaging/files/datadownload/shared/public/datadownloadfile_1786690896274
08-24 17:47:09.034  1811  2427 D dasx    : Starting download: https://fonts.gstatic.com/s/e/notoemoji/16.0/1f984/lottie.json
08-24 17:47:09.034  1811  2427 V dasx    : Is http uri, downloading (uri: https://fonts.gstatic.com/s/e/notoemoji/16.0/1f984/lottie.json)
08-24 17:47:09.036  1811  1904 E MDD     : DownloadProgressMonitor: Can't find file group for uri: android://com.google.android.apps.messaging/files/datadownload/shared/public/datadownloadfile_1786690896275
08-24 17:47:09.040  1811  2966 D dasx    : Starting download: https://fonts.gstatic.com/s/e/notoemoji/16.0/1f98e/lottie.json
08-24 17:47:09.041  1811  2966 V dasx    : Is http uri, downloading (uri: https://fonts.gstatic.com/s/e/notoemoji/16.0/1f98e/lottie.json)
